Help!	बचाओ!
mu	म्यू
nu	न्यू
xi	एक्साई
omicron	ऑमिक्रॉन
pi	पाई
rho	रो
sigma	सिग्मा
tau	ताऊ
upsilon	अप्सिलॉन
phi	फ़ाई
chi	चाई
psi	साई
omega	ओमेगा
Numbers	संख्याएँ
Prefix	उपसर्ग
Roman Numerals	रोमन संख्याएँ
A periodic table of the elements	तत्वों के पीरियाडिक टेबल
Pino Toscano	पिनो टोसकानो
Benoit Jacob	बेनाइट जेकब
SoC on the calculator widget and a few smaller improvements	कोड साफ सफाई, आणविक पारसर तथा बहुत से छोटे सुधार
Thomas Nagy	थॉमस नेगी
Inge Wallin	इंग वालिन
A lot of small things and the documentation	बहुत सी छोटी छोटी वस्तुएँ तथा दस्तावेज़ीकरण
Several icons in the information dialog	जानकारी संवाद में बहुत से प्रतीक
Contributed most isotope information	बहुत से आइसोटोप जानकारी में सहायता प्रदत्त
Marco Martin	मार्को मार्टिन
Some icons and inspiration for others	कुछ प्रतीकों के लिए तथा अन्यों को प्रेरित करने के लिए आपको धन्यवाद
Daniel Haas	डेनियल हास
The design of the information dialog	जानकारी संवाद का डिजाइन
Brian Beck	ब्रायन बेक
The orbits icon	ऑरबिट प्रतीक
Paulo Cattai	डाटा प्लाट करें
Danilo Balzaque	डेनियल हास
linear	लीनियर
Elements	अवयव
Exact Mass	औसत द्रव्यमान
Electron Affinity	इलेक्ट्रॉनएफ़िनिटी
All the Elements	सभी तत्व
Iconic	आइकनिक
Alkaline	क्षारीय
Rare Earth	रेयर अर्थ
Alkalie Metal	क्षारीय धातु
Other Metal	अन्य धातु
Halogen	हैलोजन
Transition Metal	ट्रांजीशन धातु
Noble Gas	नोबल गैस
Metalloid	मेटलाइड
Plot Data	डाटा प्लाट करें
Isotope Table	आइसोटोप- तालिका
Stable	स्केल्स
No element selected	कोई तत्व चयनित नहीं
van Der Waals	वान डेर वाल्स
Discovery date	खोज- तििथि
First Ionization	प्रथम आयनीकरण
No Numeration	न्यूमरेशन नहीं
IUPAC	आईयूपीएसी
CAS	सीएएस
Old IUPAC	पुराना आईयूपीएसी
Unknown Electron Distribution	अज्ञात मूल्य
No elements with a melting point around this temperature	इस तापक्रम के आसपास के गलनांक बिन्दु पर कोई तत्व नहीं
No elements with a boiling point around this temperature	इस तापक्रम के आसपास के क्वथनांक बिन्दु पर कोई तत्व नहीं
Solve Chemical Equations Viewer	सुलझाए गए रासायनिक समीकरणों का प्रदर्शक
Chemical Solver Help	रासायनिक सुलझाने में मदद
yottawatts	द्रव्यमान
exawatts	आयोटा
petawatts	जेटा
terawatts	पदार्थ
gigawatts	अ- धातु
megawatts	पदार्थ
kilowatts	पदार्थ
hectowatts	पदार्थ
decawatts	पदार्थ
watts	पदार्थ
deciwatts	पदार्थ
microwatts	ऑमिक्रॉन
nanowatts	पदार्थ
picowatts	पदार्थ
attowatts	पदार्थ
cubic miles	समूह
fluid ounces	समूह
cp	हैलोजन
gal	संख्याएँ
pt	संख्याएँ
yottameters	संख्याएँ
zettameters	संख्याएँ
exameters	संख्याएँ
petameters	टाइम- लाइन
Tm	संख्याएँ
terameters	संख्याएँ
gigameters	संख्याएँ
megameters	संख्याएँ
kilometers	रीफ्रेक्टोमीटर
hectometers	संख्याएँ
decameters	संख्याएँ
meters	संख्याएँ
decimeters	संख्याएँ
micrometers	संख्याएँ
picometers	संख्याएँ
femtometers	संख्याएँ
am	थर्मामीटर
zeptometers	संख्याएँ
yoctometers	संख्याएँ
in	संख्याएँ
inches	संख्याएँ
feet	रविशंकर श्रीवास्तव, जी. करूणाकर
mi	वर्षः
miles	नेमी
petagrams	स्केल्स
hectograms	गामा
decagrams	गामा
decigrams	गामा
ng	गामा
attograms	गामा
zettaseconds	न्यूट्रॉन्स
gigaseconds	रविशंकर श्रीवास्तव, जी. करूणाकर
Ms	न्यूट्रॉन्स
megaseconds	न्यूट्रॉन्स
kiloseconds	न्यूट्रॉन
hectoseconds	न्यूट्रॉन
das	न्यूट्रॉन
decaseconds	न्यूट्रॉन
deciseconds	न्यूट्रॉन
cs	न्यूट्रॉन
centiseconds	द्रव्यमान
ms	न्यूट्रॉन
milliseconds	न्यूट्रॉन
microseconds	न्यूट्रॉन
ns	न्यूट्रॉन
nanoseconds	न्यूट्रॉन
ps	न्यूट्रॉन
picoseconds	न्यूट्रॉन
femtoseconds	न्यूट्रॉन
as	न्यूट्रॉन
attoseconds	न्यूट्रॉन
zeptoseconds	न्यूट्रॉन
ys	द्रव्यमान
yoctoseconds	न्यूट्रॉन
min	न्यूट्रॉन
julian years	न्यूट्रॉन
leap years	न्यूट्रॉन
square yottameters	कॉर्क रिंग
square zettameters	बर्नर
hectopascals	स्केल्स
decapascals	स्केल्स
pascals	स्केल्स
decipascals	स्केल्स
centipascals	स्केल्स
millipascals	स्केल्स
micropascals	स्केल्स
nanopascals	स्केल्स
picopascals	स्केल्स
femtopascals	स्केल्स
attopascals	स्केल्स
zeptopascals	स्केल्स
yoctopascals	स्केल्स
bar	स्केल्स
mbar	स्केल्स
dbar	स्केल्स
torr	स्केल्स
at	स्केल्स
inHg	स्केल्स
Energy	स्केल्स
yottajoules	स्केल्स
zettajoules	आइसोबार
petajoules	आइसोबार्स
terajoules	क्रमांक
megajoules	आइसोबार
joules	गारा
microjoules	डाटा प्लाट करें
electronvolts	कॉर्क रिंग
kcal	जेटा
celsiuses	नोबल गैस
fahrenheits	थीटा
rankines	नोबल गैस
Ma	स्केल्स
beauforts	केल्विन
Density	के- एल्जियम
korunas	न्यूट्रॉन्स
yens	न्यूक्लाइड
levs	द्रव्यमान
kroons	आयोटा
forints	न्यूट्रॉन्स
litass	अ- धातु
zlotys	रंग
leus	प्रोटॉन
kronas	रंग
kunas	स्केल्स
roubles	प्रोटॉन
australian dollars	स्पिन
reals	द्रव्यमान
canadian dollars	द्रव्यमान
yuans	मिश्र धातु
rupiahs	स्केल्स
rupees	प्रोटॉन
wons	प्रोटॉन
mexican pesos	नोबल गैस
ringgits	नोबल गैस
bahts	लीनियर
rands	अ- धातु
lightyears	रंग
tonne	समूह
newton	समूह
hectare	इकाईयाँ
exa	केल्क
peta	केल्क
reaumur	डिग्रीज़ रेनकाइन
netherlands	लीनियर
germany	प्रोटॉन
estonia	न्यूट्रॉन
romania	थीटा
GroupBox	ईटा
Beryllium	डिग्रीज़ रीमर
Boron	न्यूट्रॉन
Carbon	के- एल्जियम
Fluorine	स्पिन
Magnesium	अल्फा
Aluminum	ईटा
Sulfur	ठोस
Argon	तत्वों के नाम
Calcium	आइसोटोप्स
Scandium	अर्ध- जीवन अवधि
Chromium	समूह
Copper	इलेक्ट्रॉन
Strontium	एक रंग
Yttrium	हैलोजन
Zirconium	ऑमिक्रॉन
Niobium	न्यूट्रॉन
Molybdenum	समाधान
Technetium	केल्क
Ruthenium	नक़ल
Rhodium	के- एल्जियम
Palladium	प्रोटॉन
Cadmium	के- एल्जियम
Indium	आइसोटोन
Antimony	के- एल्जियम
Tellurium	के- एल्जियम
Iodine	क्षारीय
Xenon	के- एल्जियम
Caesium	आयनीकरण
Praseodymium	न्यूमरेशन नहीं
Samarium	क्षारीय
Dysprosium	निकालें
Erbium	निकालें
Ytterbium	प्रोटॉन
Hafnium	प्रोटॉन
Iridium	अवयव
Polonium	पदार्थ की स्थिति जानने के लिए स्लाइडर को खिसकाएँ
Americium	अज्ञात.
Periodic Table	डीजेड पीरियाडिक टेबल
Bond Length	लेबल नहीं
Bond Angle	आणविक न्यूक्लियस
x rotation	निकालें
y rotation	प्रोटॉन
z rotation	प्रोटॉन
Conjugate Gradients	अनुपात प्रकार
AutoOpt Molecule	अणु मॉडल
Draw Atom	अणु
Align	क्षारीय
Change Element	अवयव
Unknown Python Extension	अज्ञात मूल्य
Debug Information	आयनीकरण
No Description	न्यूमरेशन नहीं
Hydrogen	हैलोजन
Helium	के- एल्जियम
Boron	ऑमिक्रॉन
Nitrogen	न्यूट्रॉन
Neon	न्यूट्रॉन
Silicon	समाधान
Calcium	केल्क
Iron	प्रोटॉन
Cobalt	केल्क
Copper	नक़ल
Gallium	के- एल्जियम
Bromine	बर्नर
Krypton	प्रोटॉन
Palladium	के- एल्जियम
Silver	सीरिंज
Iodine	आइसोटोन
Barium	के- एल्जियम
Gold	ठोस
Thallium	के- एल्जियम
Astatine	क्षारीय
Radium	के- एल्जियम
Extensions	अज्ञात मूल्य
Unknown Python Engine	अज्ञात मूल्य
None	आणविक त्रिज्या
Show Atoms	रंग
Fill	रंगों को नियत करें
Melting Point	अनुपात प्रकार
Electronaffinity	वान डेर वाल्स त्रिज्या
Ionization	द्रव्यमान
Medium	वैद्युतीयऋणात्मकता
Ring	इलेक्ट्रॉनएफ़िनिटी
Atoms numbers	आयनीकरण
Adjust Hydrogens Automatically	वान डेर वाल्स
Add Hydrogens	कॉर्क रिंग
Atomic Radius	नाम
Calc	आणविक न्यूक्लियस
Degrees Celsius	अधिकतम मानः
Degrees Fahrenheit	न्यूनतम मानः
This page gives an overview about the spectrum this element	तापमानः
Number	सिर्फ तत्वों की संख्या प्रदर्शित करें
Show or hide the legend	डिग्रीज़ रेनकाइन
Display the atomic mass in the PSE	डिग्रीज़ रीमर
Emulsion	तीव्रताः
Crystallization	क्रमांक
Matter	तीव्रता
Phase	यह तत्व का स्पेक्ट्रम है
Scales	लीजेंड दिखाएँ या छुपाएँ
Syringe	पीएसई में आणविक द्रव्यमान दिखाएँ
Extractor Hood	तालिका दृश्य प्रदर्शित करें
Legend	वाष्पीय तत्वों के रंग चुनता है
Isotopes	तत्व की स्थिति
Transition Elements	गलनांक
eta	अवयव
omicron	आसवन
upsilon	इमल्शन
Solid	फ़िल्टर किया जा रहा है
Elements	पदार्थ
Exact Mass	फेस
All the Elements	करेक्टनेस
Alkaline	मानक विचलन
Alkalie Metal	सस्पेंशन
Halogen	मिश्र धातु
Isotope Table	आइसोटोन
First Ionization	आयनिक त्रिज्या
Old IUPAC	सराटा
Amphoteric	चुम्बकीय घोलक पट्टी
Value unknown	स्केल्स
reveal word	शब्द दिखाएँ
hint	संकेत
Next Anagram	अगला एनाग्राम
Show Hint	संकेत दिखाएँ
Reveal Anagram	एनाग्राम दिखाएँ
About Kanagram	एनाग्राम के बारे में
About KDE	केडीई के बारे में
Kanagram Handbook	के- एनाग्राम हैंड- बुक
Configure Kanagram	एनाग्राम कॉन्फ़िगर करें...
Vocabularies	शब्द संग्रह
New Stuff	नई सामग्री
No hint	संकेत नहीं है
Kanagram	के- अनाग्राम
An anagram game	एनाग्राम खेल
Joshua Keel	जोशुआ कील
Jeremy Whiting	जेरेमी व्हिटिंग
Artemiy Pavlov	आर्टेमिटी पावलोव
Sound effects	ध्वनि प्रभाव
Italian Data Files	इतालवी डाटा फ़ाइलें
Kris Thomsen	क्रिस थॉमसन
Danish Data Files	दानिश डाटा फ़ाइल
Patrick Spendrin	पैट्रिक स्पैंड्रीन
German Data Files	जर्मनी डाटा फ़ाइलें
British English Data Files	ब्रितानी अंग्रेजी डाटा फ़ाइलें
Swedish Data Files	दानिश डाटा फ़ाइल
Slovenian Data Files	इतालवी डाटा फ़ाइलें
Set the default vocabulary	डिफ़ॉल्ट शब्दावली सेट करें
Set the default translation	डिफ़ॉल्ट अनुवाद सेट करें
Hints	संकेत
Vocabulary Options	शब्दावली विकल्प
Download New Vocabularies	नए शब्दसंग्रह डाउनलोड करें
Vocabulary Editor	शब्दावली संपादक
Save Changes Dialog	परिवर्तनों को सहेजें संवाद
Enter the numerator of your result	अपने परिणाम का अंश भरें
Enter the denominator of your result	अपने परिणाम का हर भरें
Learn calculating with fractions	भिन्न के साथ गणित सीखें
The number of terms you want	टर्म की संख्या जो आप चाहते हैं
The maximum number you can have as main denominator	मुख्य हर के रूप में अधिकतम संख्या जो आप चाहते हैं
Comparison	तुलना
Conversion	परिवर्तन
Factorization	फ़ैक्टराइज़ेशन
Number of fractions	भिन्नों की संख्या
Answer reduced fractions	भिन्नों की संख्या
Number of correctly solved tasks	सही प्रकार से हल किए कार्यों की संख्या
Number of solved tasks	हल किए कार्यों की संख्या
Total number of solved tasks	हल किए कार्यों की कुल संख्या
Number of skipped tasks	हल किए कार्यों की संख्या
Color of the numbers in the task view	कार्य दृश्य में संख्याओं के रंग
Color of the operation signs in the task view	कार्य दृश्य में ऑपरेशन चिह्नों के रंग
Color of the fraction bars in the task view	कार्य दृश्य में भिन्न पट्टियों के रंग
Font used for the task view	कार्य दृश्य में इस्तेमाल किया जाने वाला फ़ॉन्ट
Change the color of the numbers	संख्याओं के रंग बदलें
Change the color of the operation signs	ऑपरेटर चिह्नों के रंग बदलें
Change the color of the fraction bar	भिन्न पट्टी का रंग बदलें
Enter the integer part of the fraction	भिन्न पट्टी का रंग बदलें
KBruch	के- ब्रच
CORRECT	सामान्य
Fraction Task	आखिरी फ़ैक्टर को मिटाएं
Maximal Main Denominator	भिन्न के कार्य
The operations you want	अधिकतम मुख्य अंशः
General	ऑपरेशन्स जो आप चाहते हैं
Figures	छवि
Texts	पाठ
Contents	विषय सूची
Figure	आकृति
Macro	मेक्रो
Compatibility Version	कम्पेटिबिलिटी संस्करण
Coordinate System	निर्देशांक सिस्टम
Axes	अक्ष
Your Answers Were	आपके उत्तर हैं
Question	प्रश्न
Your Answer	आपका उत्तर
Correct Answer	सही उत्तर
In this section left click on any part of the map to learn about the divisions	इस खण्ड में नक्शे के किसी भी भाग में बायाँ क्लिक कर उस डिवीजन के बारे में जानकारी ले सकते हैं
In this challenge you are given the shape of a region and you must place it on the map	इस चैलेंज में आपको क्षेत्र का आकार दिया गया है और उसे आपको नक्शे में उचित जगह पर रखना होगा
In this quiz you have to guess the division name given its capital	इस क्विज में आपको डिविजन नाम का अंदाजा लगाना होगा जब राजधानी दिया गया होगा
In this quiz you have to guess the capital of a given division name	इस क्विज में आपको दिए गए डिवीजन नाम के राजधानी का अंदाजा लगाना होगा
In this quiz you have to guess the division name given its flag	इस क्विज में आपको डिवीजन नाम का अंदाजा लगाना होगा यदि इसका झंडा दिया गया हो
In this quiz you have to guess the flag of a division given its name	इस क्विज में आपको झंडे का अंदाजा लगाना होगा यदि इसका डिवीजन नाम दिया गया हो
Map author	मपुटो
There is no current map	वहाँ वर्तमान में कोई नक्शा नहीं है
Number of Questions	प्रश्नों की संख्या
Map Author	मपुटो
KGeography	के- जिओग्राफ़ी
A geography learning program	भूगोल सीखने का प्रोग्राम
Programmer and designer	प्रोग्रामर तथा डिज़ाइनर
Sodipodi flags collection	सोडिपोडी ध्वज संग्रह
Choose Map to Use	उपयोग हेतु नक्शा चुनें
Qazakh	कज़ाखिस्तान
Lingayen	लिनडेन
Zvishavane	जेहदान
Not Zaire	जुरा
Burma	उक्रेन नहीं
Misses	चूकें
Hint	संकेत
Classical hangman game for KDE	केडीई के लिए क्लासिकल हैंगमेन खेल
KHangMan	के- हैंगमेन
Primoz Anzur	प्रिमोज आंजुर
Previous maintainer	पूर्व मेंटेनर
Coding help	कोडिंग मदद
eXParTaKus	एक्सपारटाकस
Spanish data files	स्पेनी डाटा फ़ाइल
Danish data files	दानिश डाटा फ़ाइल
Niko Lewman	निको ल्यूमैन
Finnish data files	फिनिश डाटा फ़ाइल
Brazilian Portuguese data files	ब्राजीली पुर्तगाली डाटा फ़ाइलें
Antoni Bella	एन्टोनी बेला
Catalan data files	केटालन डाटा फ़ाइल
Giovanni Venturi	गिवोआन्नी वेंचुरी
Italian data files	इतालवी डाटा फ़ाइल
Rinse	रिन्से
Dutch data files	डच डाटा फ़ाइल
Czech data files	चेक डाटा फ़ाइलें
Tamas Szanto	टॉमस जान्टो
Hungarian data files	हंगेरियाई डाटा फ़ाइलें
Roger Kovacs	रोजर कोनास
Tajik data files	ताज़िक डाटा फ़ाइलें
Chusslove Illich	चुसलोव इलिच
Jure Repinc	जुर रेपिन
Slovenian data files	स्लोवेनियाई डाटा फ़ाइलें
Pedro Morais	पेद्रो मोराइस
Portuguese data files	पुर्तगाली डाटा फ़ाइलें
Gaute Hvoslef Kvalnes	गाउते हवोसलेफ क्वाल्नेस
Turkish data files	तुर्की डाटा फ़ाइलें
Russian data files	रूसी डाटा फ़ाइलें
Radostin Radnev	रादोस्तिन रादनेव
Bulgarian data files	बुलगारियाई डाटा फ़ाइलें
Kevin Patrick Scannell	केविन पैट्रिक स्कानेल
Matt Howe	मैट होवे
Softer Hangman Pictures	कोमल हैंगमेन छवि
Robert Gogolok	रॉबर्ट गोगोलोक
Peter Hedlund	पीटर हेडलुंड
Code for generating icons for the characters toolbar	अक्षर औज़ारपट्टी के लिए प्रतीक बनाने के लिए कोड
Code cleaning	कोड साफ सफाई
German	जर्मन
Play in upper case letters	अपर केस अक्षर में खेलें
Require more guesses for duplicate letters	दोहरे अक्षरों के लिए अधिक बार अंदाज़ा लगाने की आवश्यकता होगी
Enable animations	ध्वनियाँ सक्षम करें
Level	स्तर
Show the characters toolbar	अक्षर औज़ार- पट्टी दिखाएँ
The language selected by the user	उपयोक्ता द्वारा चयनित भाषा
Background theme	पृष्ठभूमि प्रसंग
Enable Animations	ध्वनियाँ सक्षम करें
Type accented letters separately from normal letters	एसेंट वाले अक्षरों को सामान्य अक्षर से अलग टाइप करें
The Providers path for KHangMan	केहैंगमेन के लिए प्रोवाइडर पथ
Type accented letters	एस्सेंटेड अक्षर टाइप करें
Time rs	टाइमर
Play with a new word	नए शब्द के साथ खेलें
Choose the category	कोई वर्ग चुनें
Choose the category of words	शब्दों का कोई वर्ग चुनें
Choose the language	भाषा चुनें
Choose the look and feel	रूप आकार चुनें
Languages	भाषाएं
Sea Theme	समुद्रीय प्रसंग
Desert Theme	मरुस्थलीय प्रसंग
Medium	आप हार गए हैं. क्या आप फिर से खेलना चाहते हैं?
More Conics	और कोन
Conics	शंकु
Angles	कोण
Transformations	रूपांतरण
Other Objects	अन्य वस्तुएँ
Show Axes	अक्षों को दर्शाएं
Show Grid	ग्रिड दिखाएँ
Show Extra Frame	अतिरिक्त फ्रेम दिखाएँ
First step	प्रथम चरण
One step back	एक कदम पीछे
One step forward	एक कदम आगे
Last step	अंतिम चरण
A circle constructed by its center and tangent to a given line	दी गई रेखा पर स्पर्श करती इसके केंद्र पर आधारित एक वृत्त बनाएँ
Construct a circle tangent to this line	इस लकीर को स्पर्श करती वृत्त बनाएँ
Construct a circle with this center	इस केंद्र के द्वारा एक वृत्त का निर्माण करें
A circle defined by its center and the length of a segment as the diameter	एक वृत्त इसके केंद्र तथा एक व्यास के रूप में एक खण्ड की लम्बाई द्वारा पारिभाषित
Construct a circle with the diameter given by the length of this segment	इस खण्ड की लम्बाई के व्यास से एक वृत्त बनाएँ
Equilateral Triangle	समबाहु त्रिभुज
Equilateral triangle with given two vertices	दिए गए दो वर्टिसेस द्वारा एक समबाहु त्रिभुज.
Evolute	केंद्रक
Evolute of a curve	वक्र का केंद्र
Evolute of this curve	इस वक्र का केंद्र
Osculating Circle	मध्यवर्ती वृत्त
Osculating circle of a curve at a point	एक बिन्दु पर एक वक्र का मध्यवर्ती वृत्त
Osculating circle of this curve	इस वक्र का मध्यवर्ती वृत्त
Osculating circle at this point	इस बिन्दु पर मध्यवर्ती वृत्त
Segment Axis	खण्ड अक्ष
Construct the axis of this segment	इस खण्ड का अक्ष बनाएँ
Square with two given adjacent vertices	दिए गए दो साथ साथ के शीर्ष द्वारा एक वर्ग
Vector Difference	सदिश अंतर
KDE Interactive Geometry	केडीई इंटरएक्टिव ज्यॉमिती
Dominique Devriese	डोमिनिक डेवरिस
Maurizio Paolini	मारिजियो पाओलिनि
Franco Pasquarelli	फ्रेंको पास्क्वारेली
Eric Depagne	एरिक देपांगे
Marc Bartsch	मार्क बार्स
Christophe Devriese	क्रिस्टोफ देवरिस
David Vignoni	डेविड विग्नोनी
Export as Image	छवि के रूप में निर्यात करें
Image Options	छवि विकल्प
Not Supported	समर्थित नहीं है
Export as Latex	लेटेक्स में निर्यात करें
Latex Options	लेटेक्स विकल्प
Export as SVG	एसवीजी में निर्यात करें
SVG Options	एसवीजी विकल्प
Export as XFig File	एक्स- फिग फ़ाइल में निर्यात करें
Point by Numeric Labels	न्यूमेरिक लेबल द्वारा बिन्दु
A point whose coordinates are given by two numeric labels	एक बिन्दु जिसके निर्देशांकों को दो न्यूमेरिक लेबल द्वारा दिया गया है
Segment	खण्ड
A segment constructed from its start and end point	इसके आरंभिक तथा अंतिम बिंदु से एक खण्ड निर्मित
Line by Two Points	दो बिन्दुओं द्वारा लकीर
A line constructed through two points	दो बिन्दुओं द्वारा एक लकीर बनाया गया
Perpendicular	लम्ब
Parallel	समानांतर
A circle constructed by its center and a point that pertains to it	एक वृत्त इसके केंद्र तथा इसकी परिधि के एक बिन्दु द्वारा बनाया गया
Circle by Three Points	तीन बिन्दुओं द्वारा वृत्त
A circle constructed through three points	तीन बिन्दुओं द्वारा एक वृत्त निर्मित
A circle defined by its center and the length of the radius	अपने केंद्र तथा त्रिज्या की लंबाई के रूप पारिभाषित एक वृत्त
Construct Bisector of This Angle	इस कोण का द्विभाजक निर्मित करें
Angle Bisector	कोण द्विभाजक
The bisector of an angle	कोण का द्विभाजक
Conic by Five Points	पांच बिन्दुओं द्वारा शंकु
A conic constructed through five points	पांच बिन्दुओं द्वारा एक शंकु निर्मित करें
A hyperbola with given asymptotes through a point	एक बिन्दु से जाते हुए दिए गए अनन्तस्पर्शी द्वारा अतिपरवलय
An ellipse constructed by its focuses and a point that pertains to it	इसके संकेद्रकों तथा इसके परिधि के एक बिन्दु से एक दीर्घवृत्त निर्मित
A hyperbola constructed by its focuses and a point that pertains to it	इसके संकेद्रकों तथा इसके परिधि के एक बिन्दु से एक अतिपरवलय निर्मित
Vertical Parabola by Three Points	तीन बिन्दुओं द्वारा एक खड़ा परवलय
A vertical parabola constructed through three points	तीन बिन्दुओं से जाता हुआ एक खड़ा परवलय निर्मित
Cubic Curve by Nine Points	नौ बिंदुओं द्वारा घन वक्र
A cubic curve constructed through nine points	नौ बिंदुओं द्वारा घन वक्र निर्मित
Polar Point of a Line	एक लकीर का ध्रुवीय बिंदु
Polar Line of a Point	एक बिंदु का ध्रुवीय लकीर
Cubic Curve with Node by Six Points	छः बिन्दुओं द्वारा नोड युक्त घन वक्र
Cubic Curve with Cusp by Four Points	चार बिन्दुओं द्वारा कप्स सहित घन वक्र
A cubic curve with a horizontal cusp at the origin through four points	ओरिजिन पर चार बिन्दुओं से जाता आड़ा कस्प के साथ एक घन वक्र
Cubic Function by Four Points	चार बिन्दुओं द्वारा घन फंक्शऩ
A cubic function through four points	चार बिन्दुओं द्वारा घन फंक्शन
Directrix of a Conic	शंकु की संचालिका
Angle by Three Points	तीन बिन्दुओं द्वारा कोण
An angle defined by three points	तीन बिन्दुओं द्वारा एक कोण पारिभाषित
Equilateral Hyperbola by Four Points	चार बिन्दुओं द्वारा इक्विलेटरल अतिपरवलय
An equilateral hyperbola constructed through four points	चार बिन्दुओं में से एक इक्विलेटरल अतिपरवलय निर्मित
Construct the midpoint of this segment	इस खण्ड का मध्यबिंदु निर्मित करें
Mid Point	मध्य बिन्दु
The midpoint of a segment or two other points	खण्ड या अन्य दो बिंदुओं का मध्यबिंदु
Vector	सदिश
Vector Sum	सदिश योग
Line by Vector	सदिश द्वारा रेखा
Arc by Three Points	तीन बिन्दुओं द्वारा चाप
Conic Arc by Center and Three Points	केंद्र तथा तीन बिन्दु द्वारा शंकु चाप
Conic Arc by Five Points	पांच बिन्दुओं द्वारा एक शंकु
A parabola defined by its directrix and focus	दिए गए संचालिका तथा संकेंद्रक द्वारा परवलय सीमांकित
Translate	अनुवाद
The translation of an object by a vector	एक वस्तु का सदिश द्वारा रूपांतरण
Reflect in Point	बिन्दु में परावर्तित करें
An object reflected in a point	वस्तु एक बिन्दु में परावर्तित करें
Reflect in Line	लकीर में परावर्तित करें
An object reflected in a line	एक रेखा पर परावर्तित होती एक वस्तु
An object rotated by an angle around a point	एक बिंदु के चहुँओर एक वस्तु एक कोण से घूमा
Scale over Line	लकीर के ऊपर स्केल करें
Apply Similitude	प्रतिरूप लगाएँ
Harmonic Homology	हार्मोनिक होमोलॉजी
Draw Projective Shadow	प्रक्षेपण छाया आरेखित करें
Asymptotes of a Hyperbola	अतिपरवलय का अनन्तस्पर्शी
Convex Hull	उत्तल पेंदा
A polygon that corresponds to the convex hull of another polygon	एक बहुभुज जो कि अन्य बहुभुज के उत्तल पेंदे के अनुरूप है
Parallel Test	समानांतर जाँच
Test whether two given lines are parallel	जाँचें कि क्या दी गई दो रेखाएँ समानांतर हैं
Orthogonal Test	ऑर्थोगोनल जाँच
Test whether two given lines are orthogonal	जाँचें कि क्या दी गई दो रेखाएँ ऑर्थोगोनल हैं
Collinear Test	कोलिनियर जाँच
Test whether three given points are collinear	जाँचें कि क्या तीन दिए गए बिन्दु एकरेखीय हैं
Contains Test	रखने की जाँच
Test whether a given curve contains a given point	जाँचें कि क्या दिया गया बिन्दु दिए गए वक्र पर है
In Polygon Test	बहुभुज जाँच में
Test whether a given polygon contains a given point	जाँचें कि क्या दिए गए बहुभुज में दिया गया बिन्दु है
Convex Polygon Test	उत्तल बहुभुज जाँच
Test whether a given polygon is convex	जाँचें कि क्या दिया गया बहुभुज उत्तल है
Existence Test	मौजूदगी की जांच
Test whether a given object is constructible	जाँचें कि क्या दिया गया वस्तु बनाया जा सकता है
Distance Test	दूरी जाँच
Test whether a given point have the same distance from a given point and from another given point	जांचें कि दिया गया बिन्दु दिए गए बिन्दु तथा दिए गए अन्य बिन्दु से समान दूरी पर है
Vector Equality Test	सदिश समानता जाँच
Test whether two vectors are equal	जाँचें कि क्या दी गई दो सदिशें समान हैं
Python Script	पॉयथन स्क्रिप्ट
Grad	ग्रेड
Point	पाइंट
Text Label	पाठ लेबल
Construct a Point by its Coordinates	इसके निर्देशांको द्वारा एक बिन्दु निर्मित करें
Point by Coordinates	निर्देशांकों द्वारा बिन्दु
Fixed Point	स्थिर बिन्दु
Construct a Numeric Value	न्यूमेरिक मूल्य बनाएँ
Numeric Value	न्यूमेरिक मूल्य
Set Angle Size	कोण आकार नियत करें
Radical Lines for Conics	शंकु के लिए रेडिकल लाइन
Moving Point	खिसकती बिन्दु
Following Point	निम्न बिन्दु
Locus	बिन्दुपथ
A locus	एक बिन्दुपथ
Dependent Point	आश्रित बिन्दु
Polygon by Its Vertices	इसके शीर्षों द्वारा बहुभुज
Construct a polygon by giving its vertices	इसके दिए गए शीर्षों के द्वारा बहुभुज बनाएँ
Construct a polygon with this vertex	इस शीर्ष के साथ एक बहुभुज बनाएँ
Construct an open polygon	इस बहुभुज के भुजाओं को बनाएँ
Construct a polygonal line with this vertex	इस शीर्ष के साथ एक बहुभुज बनाएँ
Polygon	बहुभुज
Vertices of a Polygon	बहुभुज के शीर्ष
Sides of a Polygon	बहुभुज की भुजाएँ
Regular Polygon with Given Center	दिए गए केंद्र से नियमित बहुभुज
Construct a regular polygon with a given center and vertex	दिए गए केंद्र तथा शीर्ष द्वारा एक नियमित बहुभुज बनाएँ
Construct a regular polygon with this center	इस केंद्र के साथ एक नियमित बहुभुज बनाएँ
Construct a regular polygon with this vertex	इस शीर्ष के साथ नियमित बहुभुज बनाएँ
Construct the Radical Lines of This Circle	इस वृत्त के आधारिक लकीरों का निर्माण करें
Construct the Radical Lines of This Conic	इस शंकु के आधारिक लकीरों का निर्माण करें
Generic Affinity	ज़ेनेरिक एफ़िनिटी
Generic Projective Transformation	ज़ेनेरिक प्रोजेक्टिव ट्रांसफ़ार्मेशन
Measure Transport	ट्रांसपोर्ट मापें
Segment to transport	ट्रांसपोर्ट के लिए खण्ड
Arc to transport	ट्रांसपोर्ट के लिए चाप
Value to transport	ट्रांसपोर्ट के लिए मूल्य
